Unnamed: 0,CGPA,IQ,Placement
642,8,122,1
643,6.14,120,0
644,7.95,108,0
645,9.8,133,1
646,6.26,115,0
647,7.55,97,0
648,6.39,123,0
649,8.97,106,0
650,7.39,133,0
651,7.84,101,0
652,9.62,123,1
653,6.23,100,0
654,8.14,116,1
655,6.4,135,0
656,6.25,104,0
657,7.9,125,1
658,9.73,98,0
659,9.02,104,0
660,6.92,128,0
661,6.66,97,0
662,9.16,119,1
663,7.59,136,1
664,6.01,118,0
665,8.45,99,0
666,6.49,124,0
667,9.26,122,1
668,6.98,125,0
669,8.64,115,1
670,7.68,97,0
671,9.13,95,0
672,6.96,100,0
673,6.28,128,0
674,6.89,111,0
675,7.96,132,1
676,7.71,108,0
677,9.29,132,1
678,8.46,113,1
679,6.21,100,0
680,7.28,136,0
681,7.79,140,1
682,9.65,129,1
683,6.18,117,0
684,7.9,106,0
685,8.95,139,1
686,7.12,96,0
687,8.28,106,0
688,9.67,119,1
689,6.73,119,0
690,8.22,124,1
691,6.72,101,0
692,6.53,111,0
693,7.97,109,0
694,6.94,121,0
695,8.18,98,0
696,7.65,115,1
697,8.09,140,1
698,6.37,114,0
699,7.34,102,0
700,7.08,102,0
701,7.91,112,1
702,7.66,97,0
703,6.83,121,0
704,7.18,137,0
705,8.48,104,0
706,7.54,101,0
707,6.59,123,0
708,6.68,102,0
709,8.28,95,0
710,8.2,120,1
711,6.8,115,0
712,8.82,98,0
713,7.23,140,0
714,6.41,100,0
715,6.86,115,0
716,6.6,112,0
717,8.26,113,1
718,9.1,100,0
719,8.12,127,1
720,7.54,117,1
721,6.89,116,0
722,6.83,121,0
723,6.61,98,0
724,7.36,100,0
725,6.86,120,0
726,8.84,121,1
727,8.23,138,1
728,9.63,126,1
729,6.41,98,0
730,7.19,119,0
731,9.36,136,1
732,8.8,121,1
733,8.48,102,0
734,8.65,108,0
735,7.59,131,1
736,8.94,106,0
737,6.49,131,0
738,9.32,135,1
739,6,120,0
740,7.3,106,0
741,7.01,104,0
742,7.4,119,0
743,6.05,99,0
744,7.93,138,1
745,6.21,118,0
746,8.4,103,0
747,8.93,126,1
748,7.52,105,0
749,8.14,102,0
750,6.57,95,0
751,7.01,128,0
752,8.73,112,1
753,6.39,115,0
754,6.47,135,0
755,8.47,120,1
756,7.17,117,0
757,6.69,117,0
758,7.61,134,1
759,7.17,107,0
760,8.04,139,1
761,8.32,114,1
762,6.29,112,0
763,9.51,138,1
764,6.45,108,0
765,9.33,120,1
766,8.65,95,0
767,6.9,106,0
768,7.1,121,0
769,8.74,118,1
770,7.99,108,0
771,6.72,132,0
772,8.07,118,1
773,8.36,130,1
774,7.13,107,0
775,6.04,114,0
776,9.22,97,0
777,6.51,137,0
778,9.52,132,1
779,6.97,113,0
780,8.91,110,0
781,6.94,110,0
782,6.28,137,0
783,7.39,104,0
784,9.52,119,1
785,8.69,116,1
786,6.89,112,0
787,7.81,124,1
788,6.98,113,0
789,7.15,139,0
790,6.5,127,0
791,9.41,123,1
792,8.36,102,0
793,8.21,133,1
794,9.68,118,1
795,7.85,128,1
796,6.9,140,0
797,8.58,139,1
798,7.23,114,0
799,8.28,104,0
800,6.48,135,0
801,6.8,115,0
802,9.56,135,1
803,6.11,128,0
804,7.69,129,1
805,6,140,0
806,9.18,97,0
807,6.41,129,0
808,8.92,139,1
809,9.35,131,1
810,7.61,95,0
811,7.11,133,0
812,8.27,104,0
813,7.75,113,1
814,9.54,123,1
815,6.36,111,0
816,6.69,109,0
817,7.85,99,0
818,6.15,109,0
819,8.08,132,1
820,9.63,104,0
821,7.21,102,0
822,8.25,120,1
823,7.33,96,0
824,7.08,118,0
825,8.51,111,1
826,7.72,134,1
827,8.95,137,1
828,7.66,95,0
829,6.69,134,0
830,9.18,108,0
831,6.29,109,0
832,9,128,1
833,8.72,125,1
834,8.07,135,1
835,7.55,108,0
836,7.76,113,1
837,9.51,106,0
838,8.7,99,0
839,9.07,136,1
840,8.52,110,0
841,6.32,116,0
842,6.99,99,0
843,7.07,105,0
844,7.16,122,0
845,9.68,115,1
846,7.09,116,0
847,9.27,102,0
848,6.52,129,0
849,8.21,133,1
850,9.43,120,1
851,6.73,119,0
852,7.66,103,0
853,8.64,120,1
854,8.75,129,1
855,7.43,107,0
856,7.17,119,0
857,7.98,102,0
858,6.73,129,0
859,8.41,100,0
860,7.4,105,0
861,6.19,114,0
862,9.79,129,1
863,8.61,125,1
864,7.05,103,0
865,6.34,125,0
866,7.02,95,0
867,8.14,134,1
868,7.63,117,1
869,6.24,129,0
870,9,104,0
871,8.37,126,1
872,8.97,106,0
873,9.76,135,1
874,7.9,119,1
875,8.09,98,0
876,9.38,133,1
877,8.45,110,0
878,8.09,137,1
879,6.35,111,0
880,7.92,137,1
881,9.04,135,1
882,9.61,129,1
883,8.19,113,1
884,9.46,128,1
885,7.07,131,0
886,7.43,124,0
887,7.95,133,1
888,9.61,118,1
889,6.09,107,0
890,7.65,101,0
891,6.95,104,0
892,9.63,120,1
893,9.04,104,0
894,7.96,135,1
895,6.38,102,0
896,6.52,131,0
897,7.66,122,1
898,7.99,106,0
899,6.68,95,0
900,6.33,109,0
901,9.62,100,0
902,6.32,139,0
903,8.15,129,1
904,7.3,103,0
905,9.02,129,1
906,8.55,113,1
907,9.34,118,1
908,8.28,129,1
909,8.45,131,1
910,9.31,104,0
911,6.49,108,0
912,9.67,122,1
913,6.3,114,0
914,6.73,134,0
915,8.72,103,0
916,7.2,111,0
917,8.62,120,1
918,8.56,118,1
919,9.3,138,1
920,6.35,124,0
921,9.55,119,1
922,7.76,95,0
923,9,104,0
924,6.66,100,0
925,6.65,104,0
926,6.47,136,0
927,8.15,107,0
928,7.36,122,0
929,7.58,134,1
930,7.9,95,0
931,9.68,135,1
932,9.09,134,1
933,7.89,122,1
934,7.33,115,0
935,7.41,99,0
936,7.35,101,0
937,8.58,130,1
938,6.07,123,0
939,9.6,125,1
940,6.26,100,0
941,9.53,135,1
942,8.49,137,1
943,6.88,130,0
944,9.42,114,1
945,7.35,111,0
946,9.5,135,1
947,6.41,98,0
948,7.06,130,0
949,6.23,125,0
950,6.44,111,0
951,9.57,108,0
952,7.32,98,0
953,8.68,107,0
954,6.89,115,0
955,9.63,98,0
956,6.17,95,0
957,7.55,107,0
958,7.39,140,0
959,8.21,111,1
960,9.11,98,0
961,7.44,123,0
962,8.15,106,0
963,6.53,104,0
964,6.82,111,0
965,7.94,122,1
966,8.18,138,1
967,9.78,110,0
968,7.14,138,0
969,6.21,135,0
970,8.09,127,1
971,7.02,107,0
972,9.54,95,0
973,6.21,109,0
974,6.98,110,0
975,9.59,136,1
976,6.11,128,0
977,8.93,120,1
978,8.49,135,1
979,9.31,134,1
980,7.16,130,0
981,6.03,106,0
982,8.34,137,1
983,9.49,96,0
984,7.01,116,0
985,9.41,118,1
986,6.72,120,0
987,8.68,111,1
988,7.08,133,0
989,9.46,119,1
990,9.46,114,1
991,6.89,106,0
992,8.02,122,1
993,7.23,113,0
994,7.49,128,0
995,8.94,99,0
996,8.03,95,0
997,9.51,99,0
998,7.91,137,1
999,6.47,135,0
